,summary
0,"{'train/da_loss_epoch': 0.6929007768630981, 'trainer/global_step': 2790, 'train/classification_loss_step': 0.1151425689458847, 'epoch': 1, 'test/ctr_auc': 0.7188081741333008, 'test/ctcvr_auc': 0.7993566393852234, 'train/da_loss_step': 0.6900489330291748, 'train/classification_loss_epoch': 0.11953552067279816, 'test/cvr_auc': 0.6502631902694702, 'train/loss_step': 0.8051915168762207, 'train/loss_epoch': 0.8124367594718933}"
1,"{'test/cvr_auc': 0.5896837711334229, 'train/da_loss_step': 0.6932128667831421, 'train/classification_loss_step': 0.09507355839014052, 'test/ctr_auc': 0.7151710987091064, 'epoch': 1, 'train/da_loss_epoch': 0.6925927996635437, 'train/classification_loss_epoch': 0.10219092667102814, 'test/ctcvr_auc': 0.7643787860870361, 'train/loss_step': 0.7882864475250244, 'train/loss_epoch': 0.7947834730148315, 'trainer/global_step': 1519}"
2,"{'test/cvr_auc': 0.6467013359069824, 'test/ctcvr_auc': 0.7645549774169922, 'train/da_loss_step': 0.6885206699371338, 'trainer/global_step': 2491, 'epoch': 1, 'test/ctr_auc': 0.7024326324462891, 'train/loss_step': 0.7582826018333435, 'train/loss_epoch': 0.7734057307243347, 'train/da_loss_epoch': 0.6934472322463989, 'train/classification_loss_step': 0.06976195424795151, 'train/classification_loss_epoch': 0.07995820045471191}"
3,"{'trainer/global_step': 2276, 'test/ctr_auc': 0.7153418064117432, 'test/cvr_auc': 0.6171444058418274, 'train/da_loss_epoch': 0.6924694776535034, 'train/da_loss_step': 0.6918524503707886, 'train/classification_loss_step': 0.10074645280838011, 'train/loss_step': 0.7925989031791687, 'epoch': 1, 'train/loss_epoch': 0.7876980900764465, 'train/classification_loss_epoch': 0.09522808343172072, 'test/ctcvr_auc': 0.7711324691772461}"
4,"{'train/classification_loss_epoch': 0.16817300021648407, 'test/ctr_auc': 0.6206111311912537, 'train/loss_step': 0.8603262305259705, 'train/loss_epoch': 0.8612992167472839, 'train/da_loss_epoch': 0.6931265592575073, 'epoch': 1, 'train/classification_loss_step': 0.16652293503284454, 'val/loss_step': 0.1352861225605011, 'val/loss_epoch': 0.15769021213054657, 'trainer/global_step': 4758, 'test/cvr_auc': 0.5526379346847534, 'test/ctcvr_auc': 0.5638313293457031, 'train/da_loss_step': 0.6938033103942871}"
5,"{'train/loss_epoch': 0.11906173080205916, 'trainer/global_step': 2790, 'epoch': 1, 'test/ctr_auc': 0.7182531356811523, 'train/loss_step': 0.11684524267911912, 'test/cvr_auc': 0.8048836588859558, 'test/ctcvr_auc': 0.8674541115760803}"
6,"{'epoch': 1, 'train/loss_step': 0.09628366678953172, 'train/loss_epoch': 0.1017945483326912, 'trainer/global_step': 1519, 'test/ctr_auc': 0.7169328331947327, 'test/cvr_auc': 0.7678911685943604, 'test/ctcvr_auc': 0.8406038284301758}"
7,"{'test/ctr_auc': 0.6996838450431824, 'test/cvr_auc': 0.7982637882232666, 'trainer/global_step': 2491, 'epoch': 1, 'test/ctcvr_auc': 0.8539384603500366, 'train/loss_step': 0.07434041053056717, 'train/loss_epoch': 0.07964549958705902}"
8,"{'epoch': 1, 'test/cvr_auc': 0.801715612411499, 'test/ctcvr_auc': 0.8576720952987671, 'train/loss_epoch': 0.09477964043617249, 'trainer/global_step': 2276, 'test/ctr_auc': 0.7119333744049072, 'train/loss_step': 0.08526066690683365}"
9,"{'test/ctr_auc': 0.6203184723854065, 'test/ctcvr_auc': 0.6395251154899597, 'train/loss_epoch': 0.16801057755947113, 'trainer/global_step': 4758, 'test/cvr_auc': 0.6729044318199158, 'val/loss_step': 0.1357596218585968, 'val/loss_epoch': 0.15752007067203522, 'train/loss_step': 0.1612219661474228, 'epoch': 1}"
